season,date,hour,price
spring,2024-04-11,23,60.47
spring,2024-04-26,0,79.87
spring,2024-04-26,1,74.0
spring,2024-04-26,2,74.2
spring,2024-04-26,3,74.07
spring,2024-04-26,4,77.1
spring,2024-04-26,5,82.98
spring,2024-04-26,6,93.5
spring,2024-04-26,7,104.06
spring,2024-04-26,8,96.06
spring,2024-04-26,9,81.08
spring,2024-04-26,10,77.81
spring,2024-04-26,11,72.95
spring,2024-04-26,12,70.35
spring,2024-04-26,13,68.74
spring,2024-04-26,14,65.37
spring,2024-04-26,15,69.92
spring,2024-04-26,16,71.7
spring,2024-04-26,17,80.46
spring,2024-04-26,18,93.88
spring,2024-04-26,19,128.74
spring,2024-04-26,20,136.56
spring,2024-04-26,21,110.0
spring,2024-04-26,22,92.71
spring,2024-04-26,23,88.26
spring,2024-05-29,0,72.22
spring,2024-05-29,1,57.54
spring,2024-05-29,2,54.28
spring,2024-05-29,3,50.59
spring,2024-05-29,4,49.83
spring,2024-05-29,5,45.91
spring,2024-05-29,6,72.15
spring,2024-05-29,7,86.45
spring,2024-05-29,8,91.52
spring,2024-05-29,9,69.11
spring,2024-05-29,10,67.85
spring,2024-05-29,11,62.12
spring,2024-05-29,12,59.07
spring,2024-05-29,13,62.25
spring,2024-05-29,14,62.18
spring,2024-05-29,15,69.49
spring,2024-05-29,16,72.67
spring,2024-05-29,17,89.23
spring,2024-05-29,18,94.66
spring,2024-05-29,19,111.44
spring,2024-05-29,20,140.5
spring,2024-05-29,21,143.26
spring,2024-05-29,22,120.39
spring,2024-05-29,23,95.53
summer,2024-06-01,0,88.58
summer,2024-06-01,1,86.68
summer,2024-06-01,2,77.75
summer,2024-06-01,3,70.4
summer,2024-06-01,4,65.11
summer,2024-06-01,5,65.62
summer,2024-06-01,6,65.9
summer,2024-06-01,7,68.09
summer,2024-06-01,8,70.75
summer,2024-06-01,9,61.35
summer,2024-06-01,10,47.16
summer,2024-06-01,11,41.86
summer,2024-06-01,12,21.21
summer,2024-06-01,13,7.44
summer,2024-06-01,14,2.92
summer,2024-06-01,15,5.8
summer,2024-06-01,16,13.0
summer,2024-06-01,17,52.08
summer,2024-06-01,18,67.5
summer,2024-06-01,19,81.9
summer,2024-06-01,20,85.86
summer,2024-06-01,21,81.76
summer,2024-06-01,22,84.48
summer,2024-06-01,23,65.39
summer,2024-06-23,0,90.49
summer,2024-06-23,1,79.25
summer,2024-06-23,2,68.72
summer,2024-06-23,3,68.69
summer,2024-06-23,4,65.28
summer,2024-06-23,5,56.8
summer,2024-06-23,6,30.34
summer,2024-06-23,7,34.99
summer,2024-06-23,8,25.42
summer,2024-06-23,9,9.94
summer,2024-06-23,10,4.07
summer,2024-06-23,11,1.6
summer,2024-06-23,12,1.18
summer,2024-06-23,13,0.44
summer,2024-06-23,14,0.09
summer,2024-06-23,15,1.74
summer,2024-06-23,16,4.99
summer,2024-06-23,17,25.73
summer,2024-06-23,18,68.01
summer,2024-06-23,19,99.5
summer,2024-06-23,20,115.14
summer,2024-06-23,21,115.44
summer,2024-06-23,22,114.33
summer,2024-06-23,23,99.79
summer,2024-07-11,0,96.02
summer,2024-07-11,1,79.95
summer,2024-07-11,2,77.06
summer,2024-07-11,3,79.6
summer,2024-07-11,4,80.31
summer,2024-07-11,5,81.98
summer,2024-07-11,6,107.71
summer,2024-07-11,7,120.0
summer,2024-07-11,8,106.53
summer,2024-07-11,9,89.11
summer,2024-07-11,10,80.69
summer,2024-07-11,11,66.6
summer,2024-07-11,12,57.44
summer,2024-07-11,13,47.7
summer,2024-07-11,14,44.48
summer,2024-07-11,15,50.1
summer,2024-07-11,16,60.98
summer,2024-07-11,17,81.91
summer,2024-07-11,18,91.58
summer,2024-07-11,19,120.0
summer,2024-07-11,20,184.33
summer,2024-07-11,21,166.74
summer,2024-07-11,22,121.59
summer,2024-07-11,23,98.12
summer,2024-07-26,0,81.0
summer,2024-07-26,1,73.5
summer,2024-07-26,2,75.01
summer,2024-07-26,3,77.3
summer,2024-07-26,4,76.9
summer,2024-07-26,5,79.99
summer,2024-07-26,6,81.49
summer,2024-07-26,7,106.66
summer,2024-07-26,8,104.1
summer,2024-07-26,9,96.83
summer,2024-07-26,10,90.53
summer,2024-07-26,11,81.35
summer,2024-07-26,12,70.0
summer,2024-07-26,13,63.12
summer,2024-07-26,14,60.19
summer,2024-07-26,15,68.14
summer,2024-07-26,16,72.84
summer,2024-07-26,17,88.52
summer,2024-07-26,18,94.34
summer,2024-07-26,19,107.79
summer,2024-07-26,20,143.25
summer,2024-07-26,21,139.0
summer,2024-07-26,22,106.39
summer,2024-07-26,23,97.91
summer,2024-08-12,0,104.98
summer,2024-08-12,1,94.62
summer,2024-08-12,2,85.3
summer,2024-08-12,3,86.6
summer,2024-08-12,4,88.85
summer,2024-08-12,5,114.54
summer,2024-08-12,6,153.82
summer,2024-08-12,7,153.82
summer,2024-08-12,8,115.25
summer,2024-08-12,9,69.9
summer,2024-08-12,10,40.12
summer,2024-08-12,11,16.04
summer,2024-08-12,12,10.06
summer,2024-08-12,13,6.98
summer,2024-08-12,14,13.8
summer,2024-08-12,15,27.87
